,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
198,Lufingen,47.4911,8.5943,Tibi Blanco Cleaning Services,47.4911065,8.593955700000038,Business Service
199,Lufingen,47.4911,8.5943,Gasthof zum Hirschen,47.48942507238839,8.594263431819481,Restaurant
200,Lufingen,47.4911,8.5943,Freihof,47.48908617440625,8.594239887948694,Restaurant
201,Lufingen,47.4911,8.5943,Volg Lufingen,47.4889856113047,8.594013484025242,Shopping Mall
202,Steinmaur,47.4904,8.4369,Weiher Steinmaur,47.491535,8.4412155,Lake
203,Steinmaur,47.4904,8.4369,Weiher Sünikon,47.491914,8.441112,Lake
204,Lindau,47.443000000000005,8.6736,Restaurant Roessli,47.44189058381162,8.672161102294922,Mediterranean Restaurant
205,Stäfa,47.2367,8.7573,Bahnhof Feldbach,47.237150719354204,8.755686131984122,Train Station
206,Stäfa,47.2367,8.7573,Frei Metallbau AG,47.236147,8.758653,Locksmith
207,Stäfa,47.2367,8.7573,Restaurant Seehof Uerikon,47.23472298596881,8.754959823109292,Seafood Restaurant
208,Stäfa,47.2367,8.7573,Bahnhof Uerikon,47.23590321609479,8.75263688875991,Train Station
209,Langnau am Albis,47.2889,8.5411,Bacher Gartencenter,47.286494,8.544262,Flower Shop
210,Langnau am Albis,47.2889,8.5411,Coop,47.28914735413493,8.539603580697369,Supermarket
211,Langnau am Albis,47.2889,8.5411,Tennis & Squash Center Sihltal,47.29245870181336,8.541928151589339,Tennis Stadium
212,Langnau am Albis,47.2889,8.5411,Restaurant Nishat,47.287769,8.543147,Indian Restaurant
213,Langnau am Albis,47.2889,8.5411,Tamoil,47.28836472,8.54366196,Gas Station
214,Langnau am Albis,47.2889,8.5411,Bahnhof Langnau,47.287685,8.54346,Train Station
215,Langnau am Albis,47.2889,8.5411,SZU Langnau-Gattikon,47.2871582168447,8.543663366661319,Light Rail Station
216,Langnau am Albis,47.2889,8.5411,Szenario,47.28742163506495,8.544978452094497,Swiss Restaurant
217,Küsnacht (ZH),47.3181,8.584,Chez Crettol,47.31786660538452,8.582612090596268,Swiss Restaurant
218,Küsnacht (ZH),47.3181,8.584,Confisserie Honold,47.31595760026464,8.586400979188426,Bakery
219,Küsnacht (ZH),47.3181,8.584,Romantik Seehotel Sonne,47.319035,8.578906,Hotel
220,Küsnacht (ZH),47.3181,8.584,Rico's Kunststuben,47.31552,8.57993,Bar
221,Küsnacht (ZH),47.3181,8.584,Migros,47.31850293709345,8.58187253307843,Grocery Store
222,Küsnacht (ZH),47.3181,8.584,Coop,47.3178871864193,8.581615836705309,Supermarket
223,Küsnacht (ZH),47.3181,8.584,Bahnhof Küsnacht,47.318766919772045,8.581256338809906,Train Station
224,Küsnacht (ZH),47.3181,8.584,Restaurant Neuer Falken,47.317457,8.581981,Italian Restaurant
225,Küsnacht (ZH),47.3181,8.584,Papeterie Köhler,47.31870860757438,8.580236434936523,Paper / Office Supplies Store
226,Küsnacht (ZH),47.3181,8.584,ThaiAway,47.319390665023384,8.580086545103075,Asian Restaurant
227,Küsnacht (ZH),47.3181,8.584,Biergarten / Lounge Sonne,47.319438,8.578622,Beer Garden
228,Knonau,47.2235,8.462,Rastplatz Eitenberg,47.22769630551363,8.462100460893604,Rest Area
229,Knonau,47.2235,8.462,Kraut & Rosen GmbH,47.223108,8.462934,Flower Shop
230,Knonau,47.2235,8.462,Kraut und Rosen,47.22290450433875,8.465492911932886,Flower Shop
231,Knonau,47.2235,8.462,Gelateria Fiorenza,47.22179719418097,8.465480835994345,Dessert Shop
232,Knonau,47.2235,8.462,Malabar,47.22009,8.46609,Indian Restaurant
233,Oberengstringen,47.4084,8.4651,migros,47.408863,8.462974,Supermarket
234,Oberengstringen,47.4084,8.4651,thai curry original food,47.40826,8.465443,Thai Restaurant
235,Oberengstringen,47.4084,8.4651,Pizzeria okay italia,47.40841381284679,8.465352058410645,Pizza Place
236,Oberengstringen,47.4084,8.4651,Meuli Bäckerei,47.408994092843905,8.461889336941299,Bakery
237,Oberengstringen,47.4084,8.4651,Vitaparcour Oberengstringen,47.409675684543956,8.469639166476899,Trail
238,Seuzach,47.5356,8.7321,Coop,47.53698996,8.73405111,Convenience Store
239,Seuzach,47.5356,8.7321,Migros,47.5355381677232,8.730358929309816,Grocery Store
240,Seuzach,47.5356,8.7321,Pizzeria Barone,47.536701,8.729802,Italian Restaurant
241,Seuzach,47.5356,8.7321,avec.,47.536111,8.735192,Grocery Store
242,Seuzach,47.5356,8.7321,Bahnhof Seuzach,47.53618157803943,8.7376070022583,Train Station
243,Oberglatt,47.4758,8.519,Bäckerei Fleischli Niederglatt,47.476558007769064,8.519375945317966,Bakery
244,Oberrieden,47.2744,8.5784,Kölli Beck,47.27809251078628,8.575746249293505,Breakfast Spot
245,Oberrieden,47.2744,8.5784,Key West,47.27264496407488,8.577913004556564,Seafood Restaurant
246,Oberrieden,47.2744,8.5784,Bahnhof Oberrieden Dorf,47.27669906649536,8.5777245599007,Train Station
247,Oberrieden,47.2744,8.5784,Seebadi Oberrieden,47.27614869079009,8.581961785326136,Lake
248,Oberrieden,47.2744,8.5784,Migrolino,47.27673549,8.57760195,Grocery Store
249,Rüti (ZH),47.256,8.8555,newshape,47.25414,8.852931,Gym / Fitness Center
250,Rüti (ZH),47.256,8.8555,Do It + Garden Migros,47.25310650299323,8.853349685668945,Hardware Store
251,Rüti (ZH),47.256,8.8555,Migros Outlet,47.253054,8.853308,Shopping Mall
252,Rüti (ZH),47.256,8.8555,Walco Malerei GmbH,47.25297,8.85872,Construction & Landscaping
253,Rüschlikon,47.3069,8.5514,Belvoir,47.305922881236434,8.550432010298314,Hotel
254,Rüschlikon,47.3069,8.5514,Pizzeria Da Toni,47.309024769725234,8.554514186189634,Italian Restaurant
255,Rüschlikon,47.3069,8.5514,Restaurant Rose,47.308895883980206,8.555114694617972,Restaurant
256,Rüschlikon,47.3069,8.5514,Bahnhof Rüschlikon,47.306997799259,8.555103061968605,Train Station
257,Rüschlikon,47.3069,8.5514,moosegg,47.306785719354984,8.549567822944756,Swiss Restaurant
258,Rüschlikon,47.3069,8.5514,"VBZ, Rüschlikon Bahnhof",47.30836903927734,8.553734694276955,Bus Station
259,Rüschlikon,47.3069,8.5514,Sportplatz Moos,47.307343,8.545557,Athletics & Sports
260,Rüschlikon,47.3069,8.5514,Prodega Rüschlikon,47.30382,8.547055,Grocery Store
261,Rümlang,47.4504,8.5299,Ristorante Romantica 1,47.452677658636034,8.529640919246868,Pizza Place
262,Rümlang,47.4504,8.5299,Ristorante Sorriso,47.45129273903525,8.529042075189853,Pizza Place
263,Rümlang,47.4504,8.5299,Bahnhof Rümlang,47.45374485503769,8.532927326914475,Train Station
264,Rorbas,47.5309,8.5756,Al Cervo,47.5304992092724,8.575145925048,Italian Restaurant
265,Rorbas,47.5309,8.5756,Strässler Fire & Design GmbH,47.53113,8.5753299,Furniture / Home Store
266,Rorbas,47.5309,8.5756,Restaurant Freihof,47.531328,8.57789,Comfort Food Restaurant
267,Rorbas,47.5309,8.5756,Café Rorboz,47.529588,8.578879,Bistro
268,Rorbas,47.5309,8.5756,Gasthaus adler,47.528807,8.580374,Swiss Restaurant
269,Rifferswil,47.2437,8.4969,Restaurant zur Post,47.24240513032787,8.495900162847827,Swiss Restaurant
270,Rifferswil,47.2437,8.4969,Café Saisongeschichten,47.242031,8.493656,Café
